Date,Open,High,Low,Close,Adj Close,Volume
2007-01-03,91.599998,92.510002,91.510002,91.930000,63.313023,1753900
2007-01-04,92.050003,92.230003,91.080002,91.690002,63.147720,1942900
2007-01-05,91.690002,92.570000,91.370003,92.019997,63.375008,1954600
2007-01-08,91.550003,94.199997,91.540001,93.690002,64.525162,2002400
2007-01-09,94.029999,94.669998,93.250000,93.599998,64.463181,1501600
2007-01-10,93.300003,94.849998,92.860001,94.580002,65.138084,1305100
2007-01-11,94.550003,95.760002,94.120003,95.660004,65.881927,1949700
2007-01-12,95.410004,96.680000,95.320000,96.309998,66.329582,1760500
2007-01-16,96.050003,97.480003,96.029999,97.000000,66.804756,1551800
2007-01-17,97.250000,97.419998,96.070000,96.500000,66.460426,2229900
2007-01-18,96.120003,97.379997,96.120003,96.800003,66.667038,1562600
2007-01-19,96.970001,97.750000,96.290001,97.269997,66.990700,1578400
2007-01-22,97.279999,97.290001,95.599998,96.769997,66.646370,3031700
2007-01-23,96.699997,98.750000,96.500000,98.739998,68.003136,3159400
2007-01-24,98.199997,98.209999,96.500000,97.139999,66.901176,3100300
2007-01-25,98.500000,98.750000,97.440002,97.440002,67.107819,2715700
2007-01-26,98.750000,98.750000,96.209999,96.669998,66.577507,2306300
2007-01-29,96.330002,96.620003,95.949997,96.059998,66.157394,3140600
2007-01-30,96.000000,96.360001,95.820000,96.239998,66.281403,1851000
2007-01-31,96.199997,97.300003,96.160004,97.190002,66.935623,1893500
2007-02-01,96.900002,98.529999,96.720001,98.459999,67.810295,2281900
2007-02-02,97.849998,99.000000,97.580002,98.459999,67.810295,2322000
2007-02-05,98.000000,99.379997,97.860001,99.080002,68.237282,1763800
2007-02-06,99.389999,101.320000,99.190002,101.290001,69.759346,3627000
2007-02-07,100.919998,101.839996,100.669998,101.519997,69.917740,2205500
2007-02-08,101.519997,101.779999,100.660004,100.879997,69.476974,1300000
2007-02-09,100.760002,101.589996,100.720001,101.160004,69.669830,1075700
2007-02-12,101.160004,101.930000,101.129997,101.629997,69.993484,1690800
2007-02-13,101.639999,102.610001,101.519997,102.260002,70.427399,1632200
2007-02-14,102.379997,102.809998,102.000000,102.320000,70.468689,1010100
2007-02-15,102.139999,103.459999,102.040001,103.339996,71.171196,1233800
2007-02-16,102.660004,103.260002,101.580002,101.949997,70.213875,1854700
2007-02-20,101.699997,102.790001,101.449997,102.790001,70.792397,2235300
2007-02-21,102.760002,103.419998,102.269997,102.550003,70.627106,1242900
2007-02-22,103.239998,103.500000,101.120003,101.550003,69.938408,3377500
2007-02-23,101.589996,102.320000,101.129997,102.110001,70.324089,1630900
2007-02-26,102.070000,102.339996,101.000000,101.470001,69.883301,1383700
2007-02-27,101.160004,101.339996,96.330002,97.570000,67.429909,2717300
2007-02-28,96.750000,98.839996,95.839996,97.260002,67.215706,3070100
2007-03-01,96.250000,98.089996,92.680000,97.820000,67.602722,2382400
2007-03-02,97.660004,97.940002,95.440002,95.440002,65.957893,2296700
2007-03-05,94.959999,97.540001,94.800003,96.500000,66.690460,2866100
2007-03-06,96.889999,97.519997,96.349998,96.900002,66.966896,1898900
2007-03-07,96.860001,97.099998,96.309998,96.540001,66.718102,1256100
2007-03-08,97.400002,97.980003,96.720001,97.180000,67.160400,1324700
2007-03-09,97.559998,97.830002,96.599998,96.889999,66.959999,1176400
2007-03-12,96.650002,100.019997,96.650002,100.000000,69.109306,2120300
2007-03-13,99.519997,99.739998,96.870003,96.870003,66.946167,2067900
2007-03-14,97.089996,98.349998,95.949997,98.139999,67.823845,2120300
2007-03-15,97.940002,98.279999,97.449997,98.050003,67.761642,1425800
2007-03-16,98.430000,98.470001,97.720001,97.800003,67.588875,1702800
2007-03-19,98.000000,99.059998,98.000000,98.970001,68.397476,1150400
2007-03-20,98.599998,98.690002,97.750000,98.379997,67.989716,1181000
2007-03-21,98.540001,99.849998,98.389999,99.849998,69.005600,1191800
2007-03-22,99.500000,99.589996,97.760002,97.910004,67.664902,1656800
2007-03-23,98.000000,99.250000,97.940002,99.150002,68.521866,1305700
2007-03-26,99.160004,99.180000,97.500000,98.419998,68.017372,1168700
2007-03-27,98.040001,98.610001,97.339996,98.180000,67.851486,1439800
2007-03-28,97.669998,98.169998,96.949997,97.180000,67.160400,1365400
2007-03-29,97.910004,98.489998,97.589996,98.099998,67.796219,1338100
2007-03-30,98.339996,98.809998,96.720001,97.019997,67.049835,1799300
2007-04-02,97.349998,97.489998,96.339996,96.930000,66.987625,1855100
2007-04-03,97.239998,97.599998,96.970001,97.279999,67.229515,2212700
2007-04-04,97.510002,97.709999,96.879997,97.050003,67.070564,1718300
2007-04-05,96.750000,97.040001,96.510002,96.709999,66.835587,1653600
2007-04-09,96.989998,98.180000,96.870003,98.029999,67.747818,1135200
2007-04-10,98.400002,98.639999,97.750000,98.050003,67.761642,787800
2007-04-11,98.209999,98.339996,96.400002,96.610001,66.766472,1838600
2007-04-12,96.000000,96.750000,95.650002,96.160004,66.455490,2063300
2007-04-13,96.160004,96.349998,95.620003,96.239998,66.510773,1513400
2007-04-16,96.339996,96.529999,95.820000,96.000000,66.344902,1671200
2007-04-17,95.989998,96.220001,95.650002,95.959999,66.317268,1526000
2007-04-18,95.559998,96.769997,95.480003,96.370003,66.600624,1376000
2007-04-19,96.949997,96.949997,95.339996,95.629997,66.089195,1539200
2007-04-20,95.989998,96.250000,95.370003,95.400002,65.930260,2975100
2007-04-23,95.419998,97.879997,95.419998,97.070000,67.084389,2219600
2007-04-24,98.339996,98.339996,93.690002,94.820000,65.529427,4301300
2007-04-25,94.820000,95.849998,94.000000,95.500000,65.999367,3758100
2007-04-26,95.050003,95.250000,93.190002,93.500000,64.617180,3251200
2007-04-27,93.809998,96.900002,93.750000,96.690002,66.821770,2798700
