Date,Open,High,Low,Close,Adj Close,Volume
2013-09-16,282.665985,286.269012,278.001007,282.112000,250.591934,53489132
2013-09-17,281.927002,282.204010,273.013000,276.200012,245.340515,73143097
2013-09-18,284.000000,297.295013,275.350006,277.200012,246.228760,75208440
2013-09-19,282.200012,282.200012,277.500000,278.299988,247.205795,81062189
2013-09-20,277.850006,277.950012,272.700012,273.450012,242.897705,99305712
2013-09-23,271.799988,272.035004,265.000000,266.350006,236.590988,102546928
2013-09-24,265.899994,273.595001,265.700012,271.450012,241.121170,87499240
2013-09-25,271.799988,277.656006,270.350006,273.000000,242.497971,82996400
2013-09-26,274.000000,274.200012,265.000000,269.200012,239.122543,74870176
2013-09-27,268.350006,269.750000,263.950012,265.799988,236.102417,82937528
2013-09-30,262.100006,266.227997,261.250000,265.500000,235.835922,52602640
2013-10-01,266.950012,272.122986,264.000000,269.799988,239.655487,53101816
2013-10-02,271.000000,274.549988,268.700012,272.549988,242.098206,43893800
2013-10-03,272.000000,275.500000,271.450012,273.000000,242.497971,32607288
2013-10-04,271.600006,274.250000,268.000000,271.350006,241.032333,67264805
2013-10-07,272.000000,273.615997,267.295990,272.549988,242.098206,37428296
2013-10-08,271.700012,274.100006,267.700012,268.200012,238.234299,40445504
2013-10-09,266.850006,272.000000,265.588013,267.799988,237.878983,33716048
2013-10-10,269.450012,275.269989,267.850006,274.500000,243.830399,57356160
2013-10-11,276.950012,280.489990,273.700012,278.000000,246.939346,42782992
2013-10-14,276.600006,279.989990,274.459991,276.850006,245.917862,28034836
2013-10-15,279.649994,281.790009,277.860992,279.850006,248.582611,37613464
2013-10-16,278.500000,285.580994,277.863007,283.649994,251.958084,45641647
2013-10-17,281.399994,281.739990,275.036011,278.299988,247.205795,72355949
2013-10-18,279.049988,280.342010,272.200012,277.850006,246.806107,84387120
2013-10-21,277.049988,277.279999,272.149994,274.750000,244.052444,36149417
2013-10-22,274.399994,276.950012,272.243988,272.600006,242.142639,39629712
2013-10-23,274.100006,274.500000,266.399994,268.200012,238.234299,73910032
2013-10-24,269.000000,271.268005,265.600006,266.450012,236.679840,48381752
2013-10-25,266.049988,271.971985,265.149994,267.899994,237.967834,46775000
2013-10-28,269.250000,271.000000,260.950012,263.250000,233.837357,58359808
2013-10-29,260.000000,267.825989,258.049988,266.049988,236.324509,43584268
2013-10-30,272.000000,276.897003,268.049988,268.450012,238.456360,87801256
2013-10-31,267.649994,272.000000,261.600006,263.600006,234.148270,75351520
2013-11-01,263.100006,266.157013,254.550003,256.299988,227.663864,97475917
2013-11-04,257.600006,259.846985,254.750000,255.149994,226.642349,77315816
2013-11-05,255.500000,260.710999,246.649994,249.000000,221.179489,82628737
2013-11-06,250.199997,257.350006,249.550003,254.649994,227.110306,61539292
2013-11-07,255.449997,258.850006,251.399994,252.699997,225.371201,40284544
2013-11-08,251.050003,256.350006,250.100006,255.300003,227.690033,42434240
